
Le Clown et ses chiens,1892,France
Un bon bock,1892,France
Autour d'une cabine,1894,France
Humorous Phases of Funny Faces,1906,USA
Fantasmagorie,1908,France
Katsudō Shashin[1],1911,Japan
Battle of a Monkey and a Crab,1917,""
The Dinosaur and the Missing Link: A Prehistoric Tragedy,1917,USA
Imokawa Mukuzo Genkanban no Maki,1917,Japan
Namakura Gatana,1917,Japan
Momotaro,1918,Japan
Urashima Tarō,1918,Japan
The Einstein Theory of Relativity,1923,""
Felix in Hollywood,1923,""
Dog Treat,1924,""
New Year,1924,China
Oh Mabel,1924,USA
Animal Olympic Games,1928,""
Dinner Time,1928,""
Mighty Taro's Reckless Training,1928,""
Momotaro the Undefeated,1928,""
Eveready Harton in Buried Treasure,1929,""
Fiddlesticks,1930,""
Adventures of Juku the Dog,1931,Estonia
The Bum Bandit,1931,USA
Blow Me Down!,1933,""
Bosko's Knight-Mare,1933,""
Chikara to Onna no Yo no Naka,1933,Japan
King Klunk,1933,""
Russian Dressing,1933,""
Babes at Sea,1934,""
Holiday Land,1934,""
Jolly Little Elves,1934,""
The Camel's Dance,1935,China
"A Cat, a Mouse and a Bell",1935,China
Make Believe Revue,1935,USA
The Shoemaker and the Elves,1935,USA
A Coach for Cinderella,1936,USA
The Old Mill Pond,1936,""
A Car-Tune Portrait,1937,USA
Educated Fish,1937,""
All's Fair at the Fair,1938,USA
Benkei tai Ushiwaka,1939,""
Ants in the Plants,1940,""
Boogie-Doodle,1940,Canada
The Sour Puss,1940,""
The Alley Cat,1941,""
Down on the Farm,1941,USA
Hen Hop,1942,Canada
Tulips Shall Grow,1942,""
Dumb-Hounded,1943,USA
Kumo to Tulip,1943,USA
Momotarō no Umiwashi,1943,Japan
Puss n' Booty,1943,""
Camouflage,1944,USA
The Case of the Screaming Bishop,1944,USA
Draftee Daffy,1945,""
The Friendly Ghost,1945,""
Svatba v korálovém moři,1945,Czechoslovakia
Jasper in a Jam,1946,""
There's Good Boos To-Night,1948,""
Begone Dull Care,1949,Canada
Gauche the Cellist,1949,Japan
A Haunting We Will Go,1949,""
A Doll's Dream,1950,Norway
Magical Maestro,1952,""
Neighbours,1952,Canada
One Cab's Family,1952,""
The Romance of Transportation in Canada,1952,Canada
Tree for Two,1952,""
A Is for Atom,1953,""
Bell Hoppy,1954,""
Boo Moon,1954,USA
Quack Shot,1954,USA
Blinkity Blank,1955,""
Destination Earth,1956,""
Rythmetic,1956,Canada
A Star Is Bored,1956,""
Your Safety First,1956,""
A Chairy Tale,1957,Canada
Chew Chew Baby,1958,""
Dom,1958,Poland
Mole's Adventure,1958,""
Dog Gone People,1960,""
Three Tales,1960,""
My Financial Career,1962,""
Christmas Cracker,1969,Canada
The Cowboy's Flute,1963,China
The Critic,1963,""
"Alf, Bill and Fred",1964,""
A,1965,""
Angel,1966,""
Clippety Clobbered,1966,""
The Solid Tin Coyote,1966,""
What on Earth!,1966,Canada
Eye Myth,1967,USA
The House That Jack Built,1967,Canada
Cosmic Zoom,1968,Canada
Pas de deux,1968,Canada
Walking,1968,Canada
Amentü Gemisi Nasıl Yürüdü,1969,Turkey
Bambi Meets Godzilla,1969,""
Don Juan,1969,Czechoslovakia
A Quiet Week in the House,1969,Czechoslovakia
Sansür,1970,""
The Battle of Kerzhenets,1971,USSR
The Crunch Bird,1971,USA
Evolution,1971,""
Hot Stuff,1971,""
How Death Came to Earth,1971,Canada
Jabberwocky,1971,Czechoslovakia
Synchromy,1971,Canada
Balablok,1972,""
Okashi na Tenkousei,1972,""
The Selfish Giant,1972,Canada
Street Musique,1972,Canada
The Family That Dwelt Apart,1973,Canada
Basketball Jones,1974,""
Closed Mondays,1974,USA
Ek Anek Aur Ekta,1974,India
Hunger,1974,Canada
The First Christmas: The Story of the First Christmas Snow,1975,USA
Monsieur Pointu,1975,Canada
Quasi at the Quackadero,1975,USA
Uchu Enban Daisenso,1975,""
Mindscape/Le paysagiste,1976,""
The Street,1976,Canada
UFO Robot Grendizer vs. Great Mazinger,1976,""
Bead Game,1977,Canada
The Killing of an Egg,1977,""
The Sand Castle,1977,Canada
Afterlife,1978,""
The Devil and Daniel Mouse,1978,Canada
Special Delivery,1978,Canada
Banjo the Woodpile Cat,1979,USA
Every Child,1979,Canada
Getting Started,1979,Canada
The Log Driver's Waltz,1979,""
Crac,1981,""
A Deer of Nine Colors,1981,China
The Tender Tale of Cinderella Penguin,1981,Canada
The Deer's Bell,1982,China
